position,country,name,club,boots,age,height
Midfielder,Spain,Dani Rodríguez,RCD Mallorca,Puma Future 7 Ultimate,36,178
Forward,Germany,Dani Schahin,,adidas X Crazyfast Elite,35,187
Midfielder,Portugal,Dani Silva,Hellas Verona,Puma Future 7 Ultimate,24,180
Goalkeeper,Spain,Dani Sotres,,,31,185
Goalkeeper,Netherlands,Dani van den Heuvel,Club Brugge,,21,188
Defender,Spain,Dani Vivian,Athletic Club,adidas Copa Pure 2 Elite,25,184
Midfielder,England,Daniel Adshead,,adidas X Crazyfast Elite,23,179
Forward,Ghana,Daniel Afriyie,,Puma Ultra Ultimate,23,165
Defender,Denmark,Daniel Agger,,adidas Predator Elite,40,191
Goalkeeper,Nigeria,Daniel Akpeyi,,Nike Magista Opus II Elite,38,186
Defender,Ghana,Daniel Amartey,,adidas Copa 20.1,30,186
Goalkeeper,Spain,Daniel Aranzubia,,adidas Predator Elite,45,186
Forward,Australia,Daniel Arzani,,Nike Mercurial Superfly 9 Elite,26,175
Midfielder,-,Daniel Avramovski,,Nike Mercurial Vapor 14 Elite,29,184
Defender,Spain,Daniel Ayala,,Nike Magista Opus,34,191
Goalkeeper,Austria,Daniel Bachmann,Watford,Puma Ultra Ultimate,30,191
Midfielder,Germany,Daniel Baier,,Nike Hypervenom,40,175
Goalkeeper,Wales,Daniel Barden,,Puma Future 7 Ultimate,23,195
Midfielder,England,Daniel Batty,,adidas Nemeziz 18.1,27,178
Goalkeeper,Germany,Daniel Batz,,adidas Predator Elite,33,190
Goalkeeper,Germany,Daniel Batz,1. FSV Mainz 05,adidas X Crazyfast Elite,33,191
Goalkeeper,England,Daniel Bentley,Wolves,Nike Tiempo Legend 10 Elite,31,193
Midfielder,Italy,Daniel Bessa,,Nike Mercurial Vapor 14 Elite,31,178
Midfielder,Italy,Daniel Bezziccheri,,,26,183
Forward,Hungary,Dániel Böde,,Nike Tiempo Legend 10 Elite,38,190
Midfielder,Italy,Daniel Boloca,US Sassuolo,Nike Phantom GT2 Elite,26,185
Midfielder,Portugal,Daniel Bragança,Sporting CP,adidas Predator Elite LL,25,178
Defender,Germany,Daniel Brosinski,,Puma Ultra Ultimate,36,178
Midfielder,Germany,Daniel Brückner,,Nike Phantom GX 2 Elite,43,183
Forward,Italy,Daniel Caligiuri,,Nike Phantom VNM Elite,36,182
Goalkeeper,Costa Rica,Daniel Cambronero,,adidas X Crazyfast Elite,39,180
Midfielder,Portugal,Daniel Candeias,,,36,177
Defender,Portugal,Daniel Carriço,,adidas Predator Elite,36,183
Defender,Spain,Daniel Carvajal,Real Madrid,Puma Future 7 Ultimate,33,173
Defender,Costa Rica,Daniel Chacón,,adidas Copa Pure 2 Elite,23,183
Forward,Nigeria,Daniel Chima Chukwu,,,33,180
Forward,Italy,Daniel Ciofani,,adidas X Crazyfast Elite,39,191
Midfielder,Costa Rica,Daniel Colindres,,Nike Magista Opus II Elite,40,180
Defender,France,Daniel Congré,,Nike Tiempo Legend 10 Elite,39,185
Goalkeeper,Iran,Daniel Davari,,Nike CTR360 Maestri,37,192
Defender,Italy,Daniel Di Nicola,,,28,185
Midfielder,Germany,Daniel Didavi,,Nike Tiempo Legend 9 Elite,34,180
Defender,Italy,Daniel Frey,,,22,175
Goalkeeper,Brazil,Daniel Fuzato,SD Eibar,adidas Predator Accuracy.1 L,27,190
Midfielder,Hungary,Dániel Gazdag,,Puma Ultra Ultimate,28,178
Forward,Hungary,Dániel Gera,,,29,178
Goalkeeper,Spain,Daniel Giménez,,Puma Future 7 Ultimate,41,182
Forward,Germany,Daniel Ginczek,,adidas Nemeziz.1,33,191
Forward,Iceland,Daníel Gudjohnsen,Malmö FF,,18,190
Midfielder,Denmark,Daniel Haarbo,,,21,181
Midfielder,Germany,Daniel Halfar,,Nike Mercurial Vapor 15 Elite,37,173
Goalkeeper,Portugal,Daniel Heuer Fernandes,Hamburger SV,adidas Predator Elite,32,188
Defender,Denmark,Daniel Höegh,,Nike Tiempo Legend VII Elite,34,190
Forward,Denmark,Daniel Holm,,,29,180
Goalkeeper,Denmark,Daniel Iversen,Leicester City,adidas Predator Accuracy.1,27,191
Forward,Wales,Daniel James,Leeds United,adidas X Crazyfast Elite LL,27,171
Forward,Eritrea,Daniel Jebbison,Watford,adidas X Ghosted.1,21,190
Midfielder,England,Daniel Johnson,,adidas X Crazyfast Elite,32,174
Goalkeeper,Germany,Daniel Klein,FC Augsburg,,23,191
Midfielder,Ghana,Daniel Kofi Agyei,,,33,178
Midfielder,Czech Republic,Daniel Kolar,,Nike Mercurial Superfly 9 Elite,39,180
Forward,Sweden,Daniel Larsson,,Nike Mercurial Superfly 9 Elite,37,176
Goalkeeper,Germany,Daniel Lück,,Nike CTR360 Maestri,33,189
Midfielder,Colombia,Daniel Luna,,,21,178
Midfielder,Italy,Daniel Maldini,AC Monza,adidas X Crazyfast+,23,188
Forward,Argentina,Daniel Mancini,Panathinaikos Athens,adidas X Crazyfast Elite LL,28,172
Forward,Colombia,Daniel Mosquera,Hellas Verona,Nike Mercurial Vapor 15 Elite,25,180
Defender,Colombia,Daniel Muñoz,Crystal Palace,Nike Mercurial Vapor 15 Elite,28,181
Goalkeeper,Bulgaria,Daniel Naumov,,,26,191
Midfielder,Cameroon,Daniel Ndi,,Nike Mercurial Superfly 9 Elite,34,178
Defender,Denmark,Daniel Nielsen,,,29,184
Defender,Finland,Daniel O'Shaughnessy,,adidas X 19.1,30,190
Defender,Ghana,Daniel Opare,,adidas X Crazyfast Elite,34,174
Forward,Ghana,Daniel Owusu,,,21,183
Defender,Switzerland,Daniel Pavlović,,Nike Hypervenom Phinish,36,184
Goalkeeper,Israel,Daniel Peretz,Bayern München,Puma Future 7 Ultimate,24,190
Forward,Venezuela,Daniel Pérez,,Nike Mercurial Vapor XIII Elite,22,190
Defender,Spain,Daniel Pinillos,,Nike Mercurial Vapor 15 Elite,32,182
Forward,Portugal,Daniel Podence,,Nike Mercurial Vapor 16 Elite,29,170
Midfielder,Spain,Daniel Provencio,,,37,182
Defender,Czech Republic,Daniel Pudil,,Nike Phantom GX 2 Elite,39,185
Midfielder,-,Daniel Samek,,,20,184
Goalkeeper,Japan,Daniel Schmidt,KAA Gent,Puma Future 7 Ultimate,32,197
Defender,Germany,Daniel Schwaab,,adidas Predator Elite,36,186
Defender,Croatia,Daniel Stefulj,,,25,186
Defender,United States,Daniel Steres,,adidas Predator Elite,34,183
Forward,England,Daniel Sturridge,,Nike Hypervenom,35,188
Goalkeeper,Germany,Daniel Thur,,,26,180
Midfielder,Colombia,Daniel Torres,,adidas X Crazyfast Elite,35,183
Midfielder,Hungary,Dániel Tőzsér,,adidas X 15.1 Leather,39,188
Forward,-,Daniel Vasulin,FC Viktoria Plzeň,,26,195
Midfielder,Slovenia,Daniel Vujcic,,,29,177
Midfielder,Denmark,Daniel Wass,Brøndby IF,adidas X Crazyfast Elite,35,178
Midfielder,Ghana,Daniel-Kofi Kyereh,SC Freiburg,Nike Mercurial Vapor 15 Elite,28,179
Midfielder,Italy,Daniele Altobelli,,,31,188
Midfielder,Italy,Daniele Baselli,,Nike Mercurial Vapor 14 Elite,32,182
Defender,Italy,Daniele Bonera,,Nike Tiempo Legend 10 Elite,43,183
Midfielder,Italy,Daniele Buzzegoli,,,41,179
Forward,Italy,Daniele Cacia,,Nike Tiempo Legend 10 Elite,41,181
Defender,Italy,Daniele Capelli,,adidas Predator Elite,38,184
Defender,Italy,Daniele Celiento,,,30,175
Midfielder,Italy,Daniele Croce,,Nike Magista Opus,42,175
Midfielder,Italy,Daniele De Rossi,,adidas Copa Mundial,41,184
Midfielder,Italy,Daniele Dessena,,adidas Copa Pure 2 Elite,37,182
Midfielder,Italy,Daniele Galloppa,,Nike Tiempo Legend 10 Elite,39,181
Defender,Italy,Daniele Gasparetto,,,36,195
Defender,Italy,Daniele Gastaldello,,Mizuno Basara 101,41,185
Defender,Italy,Daniele Ghilardi,Hellas Verona,Nike Phantom GX Elite DF,22,189
Midfielder,Italy,Daniele Giorico,,,33,178
Defender,Italy,Daniele Mignanelli,S.P.A.L. 2013,,31,185
Forward,Italy,Daniele Montevago,,adidas X Crazyfast Elite LL,21,184
Goalkeeper,Italy,Daniele Padelli,Udinese Calcio,adidas Predator Elite,39,191
Forward,Italy,Daniele Paponi,,Nike Mercurial Superfly 9 Elite,36,182
Forward,Italy,Daniele Ragatzu,,Nike Mercurial Vapor 15 Elite,33,172
Defender,Italy,Daniele Rugani,Ajax Amsterdam,Nike Mercurial Vapor 15 Elite,30,190
Defender,Italy,Daniele Sarzi,,,28,185
Goalkeeper,Italy,Daniele Sommariva,Genoa CFC,,27,185
Forward,Italy,Daniele Verde,US Salernitana 1919,adidas Predator Elite FT,28,168
Midfielder,Latvia,Daniels Ontuzans,,,24,173
Midfielder,Russia,Daniil Fomin,,Nike Mercurial Vapor 15 Elite,27,187
Goalkeeper,Russia,Daniil Khudyakov,SK Sturm Graz,,21,194
Midfielder,Russia,Daniil Kulikov,,adidas Nemeziz.1,26,178
Goalkeeper,Russia,Daniil Odoevskiy,FK Rostov,Puma Ultra Ultimate,21,190
Midfielder,Russia,Daniil Shamkin,,adidas X Crazyfast Elite,22,187
Midfielder,Russia,Daniil Utkin,,Nike Phantom GX 2 Elite,25,183
Midfielder,Serbia,Danijel Aleksic,,Nike Mercurial Vapor 14 Elite,33,182
Midfielder,Bosnia and Herzegovina,Danijel Milicevic,,,39,171
Goalkeeper,Montenegro,Danijel Petkovic,,adidas Nemeziz.1,31,196
Midfielder,Croatia,Danijel Pranjić,,Nike Tiempo Legend 10 Elite,43,172
Goalkeeper,Croatia,Danijel Subašić,,Nike Tiempo Legend VII Elite,40,191
Goalkeeper,Croatia,Danijel Zagorac,GNK Dinamo Zagreb,Nike Mercurial Vapor 15 Elite,37,186
Forward,Kazakhstan,Danil Ankudinov,,,21,188
Midfielder,Russia,Danil Glebov,FK Rostov,adidas Predator Elite FT,25,178
Defender,Russia,Danil Krugovoy,CSKA Moscow,Nike Mercurial Superfly 9 Elite,26,176
Defender,Ukraine,Danil Skorko,,,22,180
Forward,Moldova,Danila Forov,FC Sheriff Tiraspol,,21,172
Defender,Moldova,Danila Ignatov,,,23,192
Defender,Russia,Danila Khotulev,,Nike Tiempo Legend VIII Elite,22,187
Defender,Russia,Danila Prokhin,,Nike Mercurial Vapor 15 Elite,23,186
Defender,Netherlands,Danilho Doekhi,1. FC Union Berlin,adidas Predator Elite,26,190
Forward,Brazil,Danilo,Rangers FC,adidas F50 Elite LL,25,174
Midfielder,Brazil,Danilo,Nottingham Forest,Nike Mercurial Vapor 16 Elite,23,177
Defender,Brazil,Danilo,,Nike Tiempo Legend VIII Elite,40,185
Defender,Brazil,Danilo,Juventus,Nike Mercurial Vapor 16 Elite,33,184
Midfielder,Italy,Danilo Alessandro,,,36,180
Defender,Colombia,Danilo Arboleda,,adidas X 19.1,29,190
Defender,Brazil,Danilo Avelar,,Nike Mercurial Superfly 9 Elite,35,185
Midfielder,Brazil,Danilo Barbosa,,Nike Phantom GT2 Elite,28,183
Midfielder,Italy,Danilo Bulevardi,,,29,176
Midfielder,Italy,Danilo Cataldi,ACF Fiorentina,Puma Ultra 5 Ultimate,30,180
Defender,Italy,Danilo D'Ambrosio,AC Monza,Nike Mercurial Vapor 14 Elite,36,180
Midfielder,Serbia,Danilo Pantic,,Nike Phantom VSN Elite,28,183
Midfielder,Portugal,Danilo Pereira,,Nike Tiempo Legend 10 Elite,33,188
Defender,Brazil,Danilo Silva,,,38,186
Defender,Brazil,Danilo Soares,1. FC Nürnberg,Mizuno Morelia Neo IV Beta Japan,33,170
Forward,Italy,Danilo Soddimo,,Nike Mercurial Vapor 15 Elite,37,185
Midfielder,Cape Verde,Danilson da Cruz,,,38,188
Defender,Brazil,Dankler,,,32,185
Midfielder,Haiti,Danley Jean Jacques,,Nike Mercurial Superfly 9 Elite,24,182
Midfielder,Portugal,Danny,,Nike Phantom GX 2 Elite,41,178
Midfielder,Denmark,Danny Amankwaa,,,30,176
Defender,England,Danny Batth,,Nike Tiempo Legend 10 Elite,34,191
Forward,Germany,Danny Blum,,adidas X Crazyfast Elite LL,34,184
Defender,Germany,Danny da Costa,1. FSV Mainz 05,Nike Mercurial Superfly 9 Elite,31,187
Midfielder,England,Danny Drinkwater,,Nike Phantom GT2 Elite,34,178
Defender,Wales,Danny Gabbidon,,Nike Phantom GX 2 Elite,45,178
Forward,England,Danny Graham,,Umbro UX-2,39,183
Forward,England,Danny Ings,West Ham United,Nike Mercurial Vapor XIII Elite,32,177
Defender,Northern Ireland,Danny Lafferty,,Nike Mercurial Vapor 15 Elite,35,182
Midfielder,Germany,Danny Latza,,adidas Copa Sense.1,35,179
Forward,England,Danny Namaso,FC Porto,Puma Ultra Ultimate,24,182
Defender,England,Danny Rose,,Puma Future 7 Ultimate,34,173
Defender,England,Danny Simpson,,adidas X Crazyfast Elite,38,173
Goalkeeper,Australia,Danny Vukovic,,adidas X Speedflow.1,39,187
Forward,England,Danny Ward,Huddersfield Town,Mizuno Morelia Neo IV Beta Japan,34,180
Goalkeeper,Wales,Danny Ward,Leicester City,Nike Mercurial Vapor 15 Elite,31,191
Forward,England,Danny Welbeck,Brighton & Hove Albion,adidas Predator Elite LL,34,185
Midfielder,United States,Danny Williams,,Puma Future 18.1 Netfit,35,182
Defender,Brazil,Dante,OGC Nice,Puma Ultra Ultimate,41,188
Midfielder,Belgium,Dante Rigo,,,26,180
Goalkeeper,Costa Rica,Dany Carvajal,,,36,188
Forward,Haiti,Dany Jean,,,22,170
Forward,Portugal,Dany Mota,AC Monza,Nike Hypervenom Phantom III Elite,26,180
Defender,Cameroon,Dany Nounkeu,,adidas Predator Elite,38,184
Midfielder,Ukraine,Danylo Ignatenko,,,27,190
Forward,Ukraine,Danylo Sikan,Shakhtar Donetsk,adidas X Crazyfast Elite LL,23,187
Defender,Mali,Daouda Guindo,Red Bull Salzburg,Nike Mercurial Superfly 8 Elite,22,183
Midfielder,Belgium,Daouda Peeters,,,25,185
Midfielder,France,Daouda Traoré,,Nike Mercurial Vapor 15 Elite,18,186
Midfielder,France,Daouda Weidmann,,,21,180
Goalkeeper,Russia,Dar Korolev,,,29,177
Forward,Ireland,Dara Costelloe,,,22,175
Defender,Ireland,Dara O'Shea,,Nike Phantom GX 2 Elite,25,189
Midfielder,Kosovo,Dardan Karimani,,,26,178
Midfielder,Slovenia,Dare Vršič,,Nike Mercurial Vapor 15 Elite,40,180
Forward,France,Darell Tokpa,,,23,184
Midfielder,Switzerland,Darian Males,BSC Young Boys,adidas X Crazyfast Elite LL,23,188
Defender,Croatia,Darijo Srna,,Nike Phantom GX 2 Elite,42,182
Forward,Argentina,Darío Benedetto,,adidas X Crazyfast Elite,34,177
Forward,Argentina,Darío Cvitanich,,adidas X Crazyfast Elite,40,174
Defender,Italy,Dario Dainelli,,Puma Ultra 1.1,45,191
Forward,Albania,Dario Daka,US Lecce,,20,173
Defender,Italy,Dario del Fabro,,Nike Phantom GX 2 Elite,29,180
Midfielder,Portugal,Dário Essugo,UD Las Palmas,Nike Phantom GX 2 Elite,19,178
Defender,Germany,Dario Gebuhr,,,21,188
Goalkeeper,Croatia,Dario Krešić,,adidas Predator Elite,41,195
Forward,Paraguay,Darío Lezcano,,Nike Mercurial Superfly 9 Elite,34,178
Defender,Austria,Dario Maresic,,Nike Mercurial Superfly 9 Elite,25,183
Goalkeeper,Switzerland,Dario Marzino,BSC Young Boys,Nike Mercurial Vapor 14 Elite,28,184
Forward,Chile,Darío Osorio,FC Midtjylland,,20,184
Forward,Spain,Darío Poveda,,Nike Mercurial Vapor 15 Elite,27,187
Midfielder,-,Dario Saric,Palermo FC,,27,180
Forward,Argentina,Darío Sarmiento,,,21,170
Forward,Croatia,Dario Spikic,GNK Dinamo Zagreb,Nike Mercurial Vapor 15 Elite,25,183
Midfielder,Australia,Dario Vidošić,,adidas X Crazyfast Elite,37,185
Defender,Croatia,Dario Zuparic,,,32,188
Forward,Serbia,Darko Bjedov,,,35,191
Midfielder,Serbia,Darko Brasanac,CD Leganés,Puma King Ultimate,32,178
Forward,-,Darko Churlinov,,adidas X Crazyfast Elite,24,180
Midfielder,England,Darko Gyabi,,adidas Copa Pure 2 Elite KT,20,196
Midfielder,Switzerland,Darko Jevtic,,Nike Mercurial Vapor 15 Elite,31,182
Midfielder,Serbia,Darko Lazović,Hellas Verona,adidas Predator Elite FT,34,181
Defender,-,Darko Todorovic,,,27,174
Defender,-,Darko Velkovski,,Nike Phantom VNM Elite,29,188
Defender,Cameroon,Darlin Yongwa,FC Lorient,adidas X Crazyfast Elite,24,177
Midfielder,United States,Darlington Nagbe,,adidas Nemeziz.1,34,175
Defender,England,Darnell Furlong,West Bromwich Albion,Nike Mercurial Vapor 15 Elite,29,183
Forward,England,Darren Bent,,Nike Mercurial Superfly 9 Elite,40,180
Midfielder,Scotland,Darren Fletcher,,adidas Predator Elite,40,183
Goalkeeper,France,Darren Lima Semedo,,,22,190
Goalkeeper,Ireland,Darren Randolph,,adidas Predator Elite,37,187
Defender,United States,Darrius Barnes,,adidas Predator LZ,38,185
Midfielder,Ireland,Darron Gibson,,Nike Magista Opus II Elite,37,183
Midfielder,France,Darryl Bakola,Olympique de Marseille,,17,178
Midfielder,Germany,Darryl Geurts,,,30,178
Forward,Venezuela,Darwin Machís,Real Valladolid,adidas X Crazyfast+,31,171
Forward,Uruguay,Darwin Núñez,Liverpool,adidas F50 Elite,25,187
Defender,Netherlands,Daryl Janmaat,,Nike Mercurial Vapor 15 Elite,35,185
Forward,Ireland,Daryl Murphy,,Nike Mercurial Vapor 15 Elite,41,189
Goalkeeper,Australia,Dave Cumberford,,,30,180
Defender,United States,Dave Romney,New England Revolution,Nike Tiempo Legend 10 Elite,31,188
Midfielder,Ghana,David Abagna,APOEL Nicosia,,26,177
Defender,Argentina,David Abraham,,Nike Tiempo Legend 10 Elite,38,188
Defender,Austria,David Affengruber,Elche CF,Nike Phantom GT2 Elite,23,185
Defender,Austria,David Alaba,Real Madrid,adidas Predator Elite,32,180
Defender,France,David Alcibiade,,,33,186
Forward,Nigeria,David Ankeye,Genoa CFC,adidas X Crazyfast Elite,22,191
Midfielder,Macedonia,David Babunski,,Nike Phantom GX 2 Elite,30,176
Forward,Spain,David Barral,,Puma evoPOWER,41,183
Defender,Scotland,David Bates,,adidas Copa 20.1,28,193
Forward,France,David Bellion,,,42,181
Goalkeeper,United States,David Bingham,,Nike Phantom GX 2 Elite,35,188
Forward,Wales,David Brooks,Bournemouth,Nike Mercurial Vapor 16 Elite,27,173
Goalkeeper,England,David Button,,adidas Predator Elite,35,191
Defender,Angola,David Carmo,Olympiacos Piraeus,Nike Phantom GX 2 Elite,25,196
Defender,Spain,David Carmona,,,28,176
Goalkeeper,Spain,David Cobeño,,Puma Ultra 1.1,42,185
Defender,Croatia,David Colina,,,24,174
Midfielder,Spain,David Concha,,adidas X Crazyfast Elite,28,180
Goalkeeper,Wales,David Cornell,,adidas X Crazyfast Elite,33,188
Defender,Spain,David Costas,,Nike Phantom GX 2 Elite,29,184
Midfielder,Wales,David Cotterill,,,37,175
Forward,-,David Datro Fofana,,Nike Mercurial Vapor 15 Elite,22,180
Goalkeeper,Spain,David de Gea,ACF Fiorentina,adidas Copa Pure 2 Elite,34,192
Forward,Benin,David Djigla,,,29,180
Midfielder,Sweden,David Edvardsson,,,22,174
Midfielder,Wales,David Edwards,,,38,183
Forward,Spain,David Ferreiro,,adidas Nemeziz.1,36,170
Forward,Slovenia,David Flakus Bosilj,,,22,185
Goalkeeper,Ireland,David Forde,,,45,188
Midfielder,England,David Fox,,Nike Tiempo Legend 10 Elite,41,175
Midfielder,Spain,David Fuster,,Nike Phantom GX 2 Elite,42,178
Defender,Spain,David García,,Nike CTR360 Maestri,42,182
Defender,Spain,David García,,adidas Copa Pure 2 Elite KT,30,186
Goalkeeper,Spain,David Gil,Cádiz CF,Nike Mercurial Vapor 15 Elite,31,186
Goalkeeper,Spain,David Gómez,,adidas Predator Elite,30,184
Forward,France,David Gomis,,,32,173
Midfielder,Costa Rica,David Guzmán,,Nike Phantom GX 2 Elite,34,176
Defender,Slovakia,Dávid Hancko,Feyenoord,Puma Future 7 Ultimate,27,188
Defender,-,David Heidenreich,,Nike Phantom VNM Elite,24,191
Forward,Belgium,David Henen,,Nike Phantom GX 2 Elite,28,186
Forward,Canada,David Hoilett,,Nike Phantom GX 2 Elite,34,173
Midfielder,Slovakia,David Ivan,,Nike Mercurial Vapor 15 Elite,29,173
Goalkeeper,Portugal,David Ivanov,,,18,190
Midfielder,England,David Jones,,adidas Predator Elite,40,185
Defender,Spain,David Juncà,,Nike Mercurial Vapor 15 Elite,31,178
Defender,-,David Jurásek,1899 Hoffenheim,adidas X Crazyfast+,24,183
Defender,Benin,David Kiki,,,31,180
Midfielder,Germany,David Kinsombi,SC Paderborn 07,Nike Tiempo Legend 10 Elite,29,183
Midfielder,-,David Kong,,Puma Ultra 1.1,30,183
Midfielder,Poland,David Kopacz,FC Ingolstadt 04,,25,180
Forward,Czech Republic,David Lafata,,Nike Hypervenom,43,180
Defender,-,David Limbersky,,Puma evoPOWER,41,181
Defender,Spain,David Lombán,,adidas Predator Elite,37,185
Defender,Spain,David López,Girona FC,Nike Tiempo Legend 10 Elite,35,185
Defender,Brazil,David Luiz,,adidas X Crazyfast+,37,189
Forward,Germany,David Mamutovic,,,24,189
Goalkeeper,Scotland,David Marshall,,Nike Phantom GX 2 Elite,39,187
Goalkeeper,England,David Martin,,adidas Copa Pure 2 Elite,38,188
Forward,Spain,David Mayoral,,,27,172
Forward,Ireland,David McGoldrick,,Nike Phantom GX 2 Elite,37,184
Midfielder,Ireland,David Meyler,,adidas Predator Elite,35,188
Forward,France,David N'Gog,,adidas X Crazyfast Elite,35,190
Defender,Spain,David Navarro,,Puma Ultra 1.1,44,188
Defender,Austria,David Nemeth,,adidas Nemeziz.1,23,191
Forward,Brazil,David Neres,SSC Napoli,adidas F50 Elite,27,176
Forward,England,David Nugent,,adidas X Crazyfast Elite,39,180
Goalkeeper,France,David Oberhauser,,,34,187
Defender,Germany,David Odogu,VfL Wolfsburg,Puma Future 7 Ultimate,18,191
Forward,Nigeria,David Okereke,,adidas X Crazyfast Elite,27,181
Goalkeeper,Spain,David Oliveros,,,28,181
Goalkeeper,Colombia,David Ospina,,adidas Predator Elite,36,183
Forward,Germany,David Otto,,Nike Mercurial Superfly 9 Elite,25,185
Midfielder,-,David Pavelka,AC Sparta Prague,Nike Phantom GX 2 Elite,33,185
Midfielder,Portugal,David Pereira da Costa,RC Lens,adidas Predator Elite LL,24,168
Midfielder,Germany,David Philipp,,Nike Mercurial Vapor 15 Elite,24,180
Midfielder,Chile,David Pizarro,,Nike Tiempo Legend 10 Elite,45,171
Forward,Germany,David Preu,1. FC Union Berlin,,20,172
Forward,Spain,David Querol,,,35,183
Midfielder,Tunisia,David Ramírez,,,30,179
Defender,Germany,David Raum,RB Leipzig,Nike Mercurial Superfly 10 Elite,26,180
Goalkeeper,Spain,David Raya,Arsenal,adidas F50 Elite,29,183
Goalkeeper,Brazil,David Ribeiro,,,26,174
Midfielder,Spain,David Rocha,,,39,179
Forward,Spain,David Rodríguez,,,38,180
Defender,Czech Republic,David Rozehnal,,adidas Predator Elite,44,191
Defender,France,David Sauget,,adidas X Crazyfast Elite,45,175
Defender,Austria,David Schnegg,,Nike Mercurial Superfly 8 Elite,26,185
Midfielder,Hungary,Dávid Sigér,,Nike Mercurial Vapor XIII Elite,34,175
Midfielder,Spain,David Silva,,Puma Ultra Ultimate,39,170
Midfielder,Portugal,David Simão,,,34,183
Defender,Spain,David Simón,,Nike Hypervenom,35,175
Goalkeeper,Spain,David Soria,Getafe CF,adidas Predator Elite LL,31,192
Goalkeeper,England,David Stockdale,,adidas X 17.1 Leather,39,188
Forward,Slovakia,David Strelec,,adidas X Crazyfast+,23,185
Midfielder,-,David Targamadze,,,35,172
Midfielder,Portugal,David Tavares,,,25,190
Midfielder,Spain,David Timor,,Puma Ultra Ultimate,35,185
Defender,Spain,David Torres,Real Valladolid,,21,182
Midfielder,Scotland,David Turnbull,Cardiff City,Nike Mercurial Vapor 15 Elite,25,185
